Elite Size,Time Elapsed,Final Fitness,Final Cost,Number of Iterations,Final Quantity,Number of Requirements met
8,6.515791177749634,30636.45655973583,13965.750000000031,300,603,0
8,6.420360803604126,26223.602134997363,11664.000000000005,300,517,2
8,6.405060768127441,26963.888595413824,10883.25,300,533,3
8,6.2958643436431885,29929.69321442349,12284.25000000001,300,591,2
8,6.358053207397461,28822.372638902914,10532.249999999996,300,571,3
8,6.358293056488037,28885.796610126887,12226.499999999973,300,570,2
8,6.384386301040649,29049.998667678945,13203.750000000005,300,572,1
8,6.436724662780762,29274.352782783062,13597.499999999973,300,576,4
8,6.4378156661987305,31636.777135256412,14082.750000000045,300,623,4
8,6.437372446060181,28507.840437470713,11014.499999999993,300,564,1
8,6.472655534744263,26233.065221325447,9577.50000000001,300,520,1
8,6.389626502990723,29348.632926663206,10997.249999999975,300,581,2
8,6.3432111740112305,29787.317185647462,10891.500000000015,300,590,3
8,6.424549579620361,29381.554840335117,13719.750000000002,300,578,2
8,6.421461343765259,28155.930199710427,13164.750000000038,300,554,3
8,6.437364101409912,28218.210293590564,10384.50000000002,300,559,3
8,6.596643924713135,30000.645271975543,11862.750000000016,300,593,4
8,6.406341552734375,30207.651444631723,10510.499999999982,300,599,3
8,6.45361852645874,31292.373020152292,11894.249999999984,300,619,1
8,6.412204742431641,30369.223358303632,15162.75000000001,300,596,3
8,6.4543890953063965,28667.020581350855,9687.750000000022,300,569,2
8,6.405720233917236,30457.604502183774,12771.750000000011,300,601,2
8,6.4354095458984375,29670.908955439234,15088.500000000015,300,582,0
8,6.360091209411621,30332.049387079664,13862.250000000022,300,597,3
8,6.472988843917847,33025.90594098522,14076.749999999949,300,651,3
8,6.406811714172363,31840.357279136555,13414.500000000015,300,628,1
8,6.485267877578735,28843.946610126884,11598.750000000015,300,570,4
8,6.42141056060791,30983.338761168034,13958.249999999969,300,610,2
8,6.452368497848511,28556.614408694684,12488.999999999996,300,563,1
8,6.390492677688599,29414.73498421526,10503.000000000002,300,583,4
8,6.422263860702515,28437.16235114263,12182.999999999978,300,561,4
8,6.40421199798584,29919.34527197555,10643.250000000013,300,593,3
8,6.421294450759888,27944.288142158366,11475.750000000011,300,552,2
8,6.390710115432739,27043.80168174191,9853.49999999999,300,536,3
8,6.578578233718872,33417.53608486536,16229.249999999982,300,656,4
8,6.4728803634643555,28930.39661012689,12895.49999999999,300,570,3
8,6.435764312744141,28297.738379918654,9348.750000000002,300,562,2
12,5.780699968338013,25493.420818461043,8882.249999999982,300,506,0
12,5.854926586151123,22471.945268528696,8863.500000000002,300,445,1
12,5.7942304611206055,23681.960604304033,10676.249999999985,300,467,1
12,5.828590631484985,28724.0185237988,12028.499999999975,300,567,4
12,5.81078839302063,26908.53345153368,13766.999999999989,300,528,1
12,5.792649269104004,28039.880199710424,11424.00000000004,300,554,2
12,5.761234760284424,22939.155390628817,9930.750000000004,300,453,0
12,5.824944019317627,28823.294552574826,12774.750000000007,300,568,0
12,5.888115882873535,25730.912876013103,10959.000000000004,300,508,0
12,5.84208083152771,26399.707278877508,10591.499999999958,300,522,2
12,5.952027797698975,26020.51801989325,11589.000000000033,300,513,2
12,5.886975288391113,21956.977631166057,7822.500000000029,300,436,0
12,5.808698415756226,24591.7212717165,9470.250000000002,300,487,0
12,5.870506763458252,27118.78065296588,11721.000000000007,300,535,3
12,5.8711066246032715,23947.155695879126,10198.499999999978,300,473,2
12,5.815091848373413,25078.560530700754,10087.499999999984,300,496,1
12,5.840092658996582,26297.89419254942,11292.749999999978,300,519,2
12,5.761452913284302,25074.560530700757,10027.500000000013,300,496,2
12,6.027704477310181,27095.722710517937,9889.499999999996,300,537,2
12,5.801926851272583,25064.918473148704,11368.500000000022,300,494,1
12,5.823878288269043,27497.19888317411,11454.750000000015,300,543,2
12,5.840644836425781,27022.559624189853,11020.500000000024,300,534,2
12,5.776665210723877,24373.358302716733,11393.249999999984,300,480,2
12,5.794941663742065,26511.678307653536,11528.249999999969,300,523,1
12,5.8704304695129395,22036.877631166062,9021.000000000002,300,436,1
12,5.699445009231567,24366.315817979244,10545.000000000007,300,481,1
12,5.839819431304932,25422.48670335693,10789.500000000022,300,502,2
12,5.874343395233154,26390.223163773393,13420.500000000016,300,518,2
12,5.79475736618042,23819.583150091577,10512.750000000033,300,470,1
12,5.79952597618103,23272.55048220391,10476.00000000001,300,459,1
12,5.761285066604614,24557.8212717165,8961.75,300,487,1
12,5.863908529281616,26559.849336429565,11507.999999999976,300,524,1
12,5.7926061153411865,26126.652134997363,10209.750000000035,300,517,0
12,5.822685956954956,24781.155386820617,9340.50000000002,300,491,1
12,5.888234615325928,24638.8212717165,10176.74999999999,300,487,1
12,5.923877000808716,25486.37876090899,10262.249999999975,300,504,2
12,5.846504211425781,28797.946610126888,10908.750000000013,300,570,2
12,5.937020778656006,24098.298180616606,13208.250000000007,300,472,1
12,5.889967918395996,25497.199789685015,9681.749999999984,300,505,1
12,5.891305923461914,25612.528760908986,12154.500000000022,300,504,2
12,5.859011173248291,24832.355386820618,10108.500000000002,300,491,1
12,5.925174951553345,24354.450787454218,11852.250000000022,300,479,1
12,5.876699209213257,23043.085451678882,8519.249999999995,300,457,0
12,5.962873458862305,27590.682998278222,9885.749999999993,300,547,1
12,5.875501871109009,26170.796991117226,14586.00000000002,300,512,1
12,5.85872220993042,23640.86811956655,9317.249999999993,300,468,1
12,5.874488830566406,24460.845879029308,8992.499999999982,300,485,2
12,5.96688437461853,24443.723333241764,10963.500000000002,300,482,1
12,6.378742694854736,24780.56332926856,10817.249999999978,300,489,1
12,5.921861886978149,25400.68670335693,10462.5,300,502,2
